price,postal_code,address,bed,full_bath,half_bath,property_area,property_type
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house
448888,T3M2V8,53 SETON MANOR SE,4.0,3.0,1.0,2077.0,house
254900,T3M2L7,3112 - 522 CRANFORD DR SE,2.0,2.0,,831.0,condo
349900,T2N4H7,712 - 235 9A ST NW,1.0,1.0,,615.0,condo
388800,T2B1S8,2532 HOLLY DR SE,4.0,2.0,,1149.0,house
648800,T2X1W1,48 SUNMOUNT CRES SE,5.0,3.0,,1442.0,house
699000,T2T0M3,2115 20 AVE SW,3.0,3.0,1.0,1351.0,house
369900,T2Y2R9,81 SHAWNEE RISE SW,3.0,2.0,,1386.0,house
550000,T3M1A1,18 CRANSTON PL SE,6.0,3.0,1.0,2414.0,house
620000,T2N3N6,98 23 Street NW,3.0,2.0,1.0,1638.0,townhouse
950000,T2G1L7,3104 - 510 6 AVE SE,3.0,3.0,,1551.0,condo
209900,T1Y7M1,2201 - 2280 68 ST NE,2.0,1.0,,816.0,condo
675000,T3E2S8,2016 33 ST SW,4.0,3.0,1.0,1652.0,house
279000,T1Y4H3,27 WHITMAN CLOSE NE,5.0,2.0,,874.0,house
369900,T3M2E4,212 AUBURN MEADOWS BLVD SE,3.0,2.0,1.0,1275.0,house
193900,T2S1H3,301 - 315 50 AVE SW,2.0,1.0,,901.0,condo
389983,T2M0Y5,433 19 AVE NW,2.0,1.0,,638.0,house
604900,T2L1B4,2728 CONRAD DR NW,4.0,2.0,,1483.0,house
189900,T2Z4M4,1312 - 4975 130 AVE SE,2.0,2.0,,846.0,condo
429900,T2K5A1,477 78 AVE NE,5.0,2.0,,956.0,house
279900,T2G5R1,359 - 333 RIVERFRONT AVE SE,2.0,2.0,,915.0,condo
475000,T2G5R4,29 Inglewood Grove SE,2.0,1.0,1.0,1184.0,townhouse
499900,T2T3E6,406 - 1732 9A ST SW,2.0,2.0,,1200.0,condo
259000,T2Z5C9,3411 - 99 COPPERSTONE PK SE,2.0,2.0,,916.0,condo
375000,T2Z0X8,1186 NEW BRIGHTON PK SE,3.0,2.0,1.0,1436.0,house
975000,T2T1K2,1917 28 AVE SW,3.0,2.0,2.0,2594.0,house
355000,T3J2B6,25 Saddlestone  Link NE,,,,1262.0,townhouse
1149000,T3H0W3,12 TIMBERLINE GATE SW,4.0,3.0,1.0,2951.0,house
265000,T2E0J9,303 - 515 4 AVE NE,2.0,2.0,,601.0,condo
654900,T3M2B5,7912 MASTERS BLVD SE,3.0,3.0,1.0,2473.0,house
539900,T3N0B2,349 SKYVIEW RANCH WAY NE,4.0,2.0,1.0,2522.0,house
465000,T2W1L4,815 CANFORD CRES SW,3.0,2.0,1.0,1420.0,house
599900,T3A4R7,8237 EDGEBROOK DR NW,3.0,2.0,2.0,2145.0,house
309900,T3J3W2,18 MARTHAS HAVEN PL NE,2.0,1.0,,855.0,house
274900,T2C0V5,7626 21 ST SE,2.0,1.0,,645.0,house
525000,T3A6C6,101 HIDDEN CREEK PK NW,4.0,2.0,1.0,1982.0,house
500000,T2G0Z6,1307 11 AVE SE,1.0,1.0,,2658.0,house
1299000,T2S2M9,3813 6 ST SW,4.0,3.0,1.0,2430.0,house
365000,T3J2P5,51 TARARIDGE CLOSE NE,4.0,2.0,1.0,1420.0,house
340000,T3H3L8,329 - 7229 SIERRA MORENA BLVD SW,1.0,2.0,,1212.0,condo
344900,T2R0R4,6 - 603 15 AVE SW,1.0,1.0,1.0,897.0,townhouse
429900,T3K4H2,120 HARVEST GOLD HTS NE,4.0,2.0,,1711.0,house
659900,T2K4J8,7128 HUNTERVILLE RD NW,,,,1637.0,house
269900,T3E8A9,3407 - 95 BURMA STAR RD SW,2.0,1.0,,709.0,condo
920000,T2J3X7,16 PARKWOOD RISE SE,5.0,3.0,1.0,2112.0,house
199900,T3G5K6,127 - 345 ROCKY VISTA PK NW,2.0,2.0,,834.0,condo
379900,T2Z2C4,6 DOUGLASBANK RISE SE,3.0,2.0,1.0,1085.0,house
10140000,T2A7X4,8080 R 9 AVE SE,,,,,
599900,T2W2G3,42 CANOVA RD SW,5.0,2.0,1.0,2379.0,house
469900,T2X3B5,116 SUNDOWN WAY SE,4.0,2.0,2.0,1600.0,house
749000,T2T2V1,1723 49 AVE SW,4.0,3.0,1.0,1660.0,house
375000,T2N4H7,809 - 235 9A ST NW,1.0,1.0,,615.0,condo
349900,T2B3G3,56 ERIN MEADOW GREEN SE,4.0,2.0,,1012.0,house
365000,T3H5V8,15 - 43 SPRINGBOROUGH BLVD SW,2.0,2.0,1.0,1288.0,townhouse
399900,T2Z2E6,128 DOUGLAS WOODS TERR SE,4.0,2.0,1.0,2039.0,house
580000,T2L1A1,4319 CHIPPEWA RD NW,6.0,3.0,,1622.0,house
