price,postal_code,address,bed,full_bath,half_bath,property_area,property_type,latitude,longitude,year_built,years_old,distance_downtown,monthly_payments,lot_size,basement,garage
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1970.0,50.0,7.005098419705665,1469.34,4402,1.0,1.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1898.0,122.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1995.0,25.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1968.0,52.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,2002.0,18.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,,,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,2014.0,6.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,2000.0,20.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,2017.0,3.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1974.0,46.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,2007.0,13.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1976.0,44.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1990.0,30.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1987.0,33.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,2001.0,19.0,7.005098419705665,,,0.0,0.0
339800,T2B1W3,86 DOVERCLIFFE CLOSE SE,4.0,2.0,,1097.0,house,51.02428,-113.979354,1981.0,39.0,7.005098419705665,,,0.0,0.0
448888,T3M2V8,53 SETON MANOR SE,4.0,3.0,1.0,2077.0,house,50.868970000000004,-113.957824,2018.0,2.0,21.197854554893592,1941.05,2831,1.0,0.0
254900,T3M2L7,3112 - 522 CRANFORD DR SE,2.0,2.0,,831.0,condo,50.869268,-113.970215,2016.0,4.0,20.848932755553843,1102.22,,0.0,1.0
254900,T3M2L7,3112 - 522 CRANFORD DR SE,2.0,2.0,,831.0,condo,50.869268,-113.970215,1996.0,24.0,20.848932755553843,1079.73,,0.0,0.0
254900,T3M2L7,3112 - 522 CRANFORD DR SE,2.0,2.0,,831.0,condo,50.869268,-113.970215,2005.0,15.0,20.848932755553843,1079.73,,0.0,0.0
254900,T3M2L7,3112 - 522 CRANFORD DR SE,2.0,2.0,,831.0,condo,50.869268,-113.970215,2002.0,18.0,20.848932755553843,1079.73,,0.0,0.0
254900,T3M2L7,3112 - 522 CRANFORD DR SE,2.0,2.0,,831.0,condo,50.870020000000004,-113.969718,1954.0,66.0,20.782746519829246,1231.94,,0.0,0.0
254900,T3M2L7,3112 - 522 CRANFORD DR SE,2.0,2.0,,831.0,condo,50.870020000000004,-113.969718,1959.0,61.0,20.782746519829246,1231.94,,0.0,0.0
254900,T3M2L7,3112 - 522 CRANFORD DR SE,2.0,2.0,,831.0,condo,50.870020000000004,-113.969718,1951.0,69.0,20.782746519829246,1231.94,,0.0,0.0
249700,T3M2L7,3303 - 522 CRANFORD DR SE,2.0,2.0,,832.0,condo,50.869268,-113.970215,2016.0,4.0,20.848932755553843,1102.22,,0.0,1.0
249700,T3M2L7,3303 - 522 CRANFORD DR SE,2.0,2.0,,832.0,condo,50.869268,-113.970215,1996.0,24.0,20.848932755553843,1079.73,,0.0,0.0
249700,T3M2L7,3303 - 522 CRANFORD DR SE,2.0,2.0,,832.0,condo,50.869268,-113.970215,2005.0,15.0,20.848932755553843,1079.73,,0.0,0.0
249700,T3M2L7,3303 - 522 CRANFORD DR SE,2.0,2.0,,832.0,condo,50.869268,-113.970215,2002.0,18.0,20.848932755553843,1079.73,,0.0,0.0
249700,T3M2L7,3303 - 522 CRANFORD DR SE,2.0,2.0,,832.0,condo,50.870020000000004,-113.969718,1954.0,66.0,20.782746519829246,1231.94,,0.0,0.0
249700,T3M2L7,3303 - 522 CRANFORD DR SE,2.0,2.0,,832.0,condo,50.870020000000004,-113.969718,1959.0,61.0,20.782746519829246,1231.94,,0.0,0.0
249700,T3M2L7,3303 - 522 CRANFORD DR SE,2.0,2.0,,832.0,condo,50.870020000000004,-113.969718,1951.0,69.0,20.782746519829246,1231.94,,0.0,0.0
284900,T3M2L7,1212 - 522 CRANFORD DR SE,2.0,2.0,,936.0,condo,50.869268,-113.970215,2016.0,4.0,20.848932755553843,1102.22,,0.0,1.0
284900,T3M2L7,1212 - 522 CRANFORD DR SE,2.0,2.0,,936.0,condo,50.869268,-113.970215,1996.0,24.0,20.848932755553843,1079.73,,0.0,0.0
284900,T3M2L7,1212 - 522 CRANFORD DR SE,2.0,2.0,,936.0,condo,50.869268,-113.970215,2005.0,15.0,20.848932755553843,1079.73,,0.0,0.0
284900,T3M2L7,1212 - 522 CRANFORD DR SE,2.0,2.0,,936.0,condo,50.869268,-113.970215,2002.0,18.0,20.848932755553843,1079.73,,0.0,0.0
284900,T3M2L7,1212 - 522 CRANFORD DR SE,2.0,2.0,,936.0,condo,50.870020000000004,-113.969718,1954.0,66.0,20.782746519829246,1231.94,,0.0,0.0
284900,T3M2L7,1212 - 522 CRANFORD DR SE,2.0,2.0,,936.0,condo,50.870020000000004,-113.969718,1959.0,61.0,20.782746519829246,1231.94,,0.0,0.0
284900,T3M2L7,1212 - 522 CRANFORD DR SE,2.0,2.0,,936.0,condo,50.870020000000004,-113.969718,1951.0,69.0,20.782746519829246,1231.94,,0.0,0.0
349900,T2N4H7,712 - 235 9A ST NW,1.0,1.0,,615.0,condo,51.053719,-114.084884,2014.0,6.0,1.2391923716258482,1513.01,,0.0,0.0
349900,T2N4H7,712 - 235 9A ST NW,1.0,1.0,,615.0,condo,51.053719,-114.084884,1974.0,46.0,1.2391923716258482,1621.55,,0.0,1.0
349900,T2N4H7,712 - 235 9A ST NW,1.0,1.0,,615.0,condo,51.053719,-114.084884,,,1.2391923716258482,1621.55,,0.0,1.0
375000,T2N4H7,809 - 235 9A ST NW,1.0,1.0,,615.0,condo,51.053719,-114.084884,2014.0,6.0,1.2391923716258482,1513.01,,0.0,0.0
375000,T2N4H7,809 - 235 9A ST NW,1.0,1.0,,615.0,condo,51.053719,-114.084884,1974.0,46.0,1.2391923716258482,1621.55,,0.0,1.0
375000,T2N4H7,809 - 235 9A ST NW,1.0,1.0,,615.0,condo,51.053719,-114.084884,,,1.2391923716258482,1621.55,,0.0,1.0
388800,T2B1S8,2532 HOLLY DR SE,4.0,2.0,,1149.0,house,51.030722999999995,-113.986627,1959.0,61.0,6.3095902483495045,1681.22,5499,1.0,1.0
648800,T2X1W1,48 SUNMOUNT CRES SE,5.0,3.0,,1442.0,house,50.907236,-114.040608,1981.0,39.0,15.494766571343385,2805.49,4876,1.0,1.0
699000,T2T0M3,2115 20 AVE SW,3.0,3.0,1.0,1351.0,house,51.035225,-114.109622,1989.0,31.0,2.718817950541039,3022.56,2895,1.0,1.0
369900,T2Y2R9,81 SHAWNEE RISE SW,3.0,2.0,,1386.0,house,50.926429,-114.08051999999999,1987.0,33.0,13.190914182846077,1599.49,4316,1.0,1.0
550000,T3M1A1,18 CRANSTON PL SE,6.0,3.0,1.0,2414.0,house,50.891677,-113.98813799999999,2001.0,19.0,18.077116266131387,2378.27,5619,1.0,1.0
620000,T2N3N6,98 23 Street NW,3.0,2.0,1.0,1638.0,townhouse,51.052326,-114.115343,2020.0,0.0,3.008116927591577,2680.96,1937,0.0,1.0
620000,T2N3N6,98 23 Street NW,3.0,2.0,1.0,1638.0,townhouse,51.052316,-114.115292,2012.0,8.0,3.004382843223084,2594.04,850O,0.0,1.0
620000,T2N3N6,98 23 Street NW,3.0,2.0,1.0,1638.0,townhouse,51.052316,-114.115292,2006.0,14.0,3.004382843223084,2594.04,850O,0.0,1.0
620000,T2N3N6,98 23 Street NW,3.0,2.0,1.0,1638.0,townhouse,51.052316,-114.115292,,,3.004382843223084,2594.04,850O,0.0,1.0
599900,T2N3N6,94 23 Street NW,3.0,2.0,1.0,1584.0,townhouse,51.052326,-114.115343,2020.0,0.0,3.008116927591577,2680.96,1937,0.0,1.0
599900,T2N3N6,94 23 Street NW,3.0,2.0,1.0,1584.0,townhouse,51.052316,-114.115292,2012.0,8.0,3.004382843223084,2594.04,850O,0.0,1.0
599900,T2N3N6,94 23 Street NW,3.0,2.0,1.0,1584.0,townhouse,51.052316,-114.115292,2006.0,14.0,3.004382843223084,2594.04,850O,0.0,1.0
599900,T2N3N6,94 23 Street NW,3.0,2.0,1.0,1584.0,townhouse,51.052316,-114.115292,,,3.004382843223084,2594.04,850O,0.0,1.0
950000,T2G1L7,3104 - 510 6 AVE SE,3.0,3.0,,1551.0,condo,51.047644,-114.05207,2016.0,4.0,1.5595574214711678,4107.92,,0.0,0.0
950000,T2G1L7,3104 - 510 6 AVE SE,3.0,3.0,,1551.0,condo,51.047645,-114.05207,2011.0,9.0,1.5595787926646298,1621.11,,0.0,0.0
950000,T2G1L7,3104 - 510 6 AVE SE,3.0,3.0,,1551.0,condo,51.047645,-114.05207,,,1.5595787926646298,1621.11,,0.0,0.0
950000,T2G1L7,3104 - 510 6 AVE SE,3.0,3.0,,1551.0,condo,51.047645,-114.05207,1979.0,41.0,1.5595787926646298,1621.11,,0.0,0.0
950000,T2G1L7,3104 - 510 6 AVE SE,3.0,3.0,,1551.0,condo,51.047334,-114.052226,2004.0,16.0,1.5425546308549023,1642.73,,0.0,0.0
950000,T2G1L7,3104 - 510 6 AVE SE,3.0,3.0,,1551.0,condo,51.047334,-114.052226,1991.0,29.0,1.5425546308549023,1642.73,,0.0,0.0
950000,T2G1L7,3104 - 510 6 AVE SE,3.0,3.0,,1551.0,condo,51.047334,-114.052226,2013.0,7.0,1.5425546308549023,1642.73,,0.0,0.0
374900,T2G1L7,313 - 510 6 AVE SE,1.0,1.0,,683.0,condo,51.047644,-114.05207,2016.0,4.0,1.5595574214711678,4107.92,,0.0,0.0
374900,T2G1L7,313 - 510 6 AVE SE,1.0,1.0,,683.0,condo,51.047645,-114.05207,2011.0,9.0,1.5595787926646298,1621.11,,0.0,0.0
374900,T2G1L7,313 - 510 6 AVE SE,1.0,1.0,,683.0,condo,51.047645,-114.05207,,,1.5595787926646298,1621.11,,0.0,0.0
374900,T2G1L7,313 - 510 6 AVE SE,1.0,1.0,,683.0,condo,51.047645,-114.05207,1979.0,41.0,1.5595787926646298,1621.11,,0.0,0.0
374900,T2G1L7,313 - 510 6 AVE SE,1.0,1.0,,683.0,condo,51.047334,-114.052226,2004.0,16.0,1.5425546308549023,1642.73,,0.0,0.0
374900,T2G1L7,313 - 510 6 AVE SE,1.0,1.0,,683.0,condo,51.047334,-114.052226,1991.0,29.0,1.5425546308549023,1642.73,,0.0,0.0
374900,T2G1L7,313 - 510 6 AVE SE,1.0,1.0,,683.0,condo,51.047334,-114.052226,2013.0,7.0,1.5425546308549023,1642.73,,0.0,0.0
379900,T2G1L7,202 - 510 6 AVE SE,1.0,1.0,,741.0,condo,51.047644,-114.05207,2016.0,4.0,1.5595574214711678,4107.92,,0.0,0.0
379900,T2G1L7,202 - 510 6 AVE SE,1.0,1.0,,741.0,condo,51.047645,-114.05207,2011.0,9.0,1.5595787926646298,1621.11,,0.0,0.0
379900,T2G1L7,202 - 510 6 AVE SE,1.0,1.0,,741.0,condo,51.047645,-114.05207,,,1.5595787926646298,1621.11,,0.0,0.0
379900,T2G1L7,202 - 510 6 AVE SE,1.0,1.0,,741.0,condo,51.047645,-114.05207,1979.0,41.0,1.5595787926646298,1621.11,,0.0,0.0
379900,T2G1L7,202 - 510 6 AVE SE,1.0,1.0,,741.0,condo,51.047334,-114.052226,2004.0,16.0,1.5425546308549023,1642.73,,0.0,0.0
379900,T2G1L7,202 - 510 6 AVE SE,1.0,1.0,,741.0,condo,51.047334,-114.052226,1991.0,29.0,1.5425546308549023,1642.73,,0.0,0.0
379900,T2G1L7,202 - 510 6 AVE SE,1.0,1.0,,741.0,condo,51.047334,-114.052226,2013.0,7.0,1.5425546308549023,1642.73,,0.0,0.0
209900,T1Y7M1,2201 - 2280 68 ST NE,2.0,1.0,,816.0,condo,51.072083,-113.93386000000001,2003.0,17.0,10.248716545617496,907.63,,0.0,1.0
209900,T1Y7M1,2201 - 2280 68 ST NE,2.0,1.0,,816.0,condo,51.071462,-113.934018,2021.0,-1.0,10.218074373267237,946.55,,0.0,1.0
209900,T1Y7M1,2201 - 2280 68 ST NE,2.0,1.0,,816.0,condo,51.071462,-113.934018,2001.0,19.0,10.218074373267237,946.55,,0.0,1.0
209900,T1Y7M1,2201 - 2280 68 ST NE,2.0,1.0,,816.0,condo,51.071462,-113.934018,2004.0,16.0,10.218074373267237,946.55,,0.0,1.0
218900,T1Y7M1,3217 - 2280 68 ST NE,2.0,2.0,,920.0,condo,51.072083,-113.93386000000001,2003.0,17.0,10.248716545617496,907.63,,0.0,1.0
218900,T1Y7M1,3217 - 2280 68 ST NE,2.0,2.0,,920.0,condo,51.071462,-113.934018,2021.0,-1.0,10.218074373267237,946.55,,0.0,1.0
218900,T1Y7M1,3217 - 2280 68 ST NE,2.0,2.0,,920.0,condo,51.071462,-113.934018,2001.0,19.0,10.218074373267237,946.55,,0.0,1.0
218900,T1Y7M1,3217 - 2280 68 ST NE,2.0,2.0,,920.0,condo,51.071462,-113.934018,2004.0,16.0,10.218074373267237,946.55,,0.0,1.0
675000,T3E2S8,2016 33 ST SW,4.0,3.0,1.0,1652.0,house,51.035651,-114.13508700000001,2007.0,13.0,4.398706446415657,2918.78,3003,1.0,1.0
279000,T1Y4H3,27 WHITMAN CLOSE NE,5.0,2.0,,874.0,house,51.082353999999995,-113.98017,1979.0,41.0,7.764717023184779,1206.43,893O,1.0,0.0
369900,T3M2E4,212 AUBURN MEADOWS BLVD SE,3.0,2.0,1.0,1275.0,house,50.896318,-113.94786299999998,2015.0,5.0,18.743414553156114,1599.49,2766,1.0,0.0
193900,T2S1H3,301 - 315 50 AVE SW,2.0,1.0,,901.0,condo,51.008375,-114.070753,1968.0,52.0,4.074230634188495,838.45,,0.0,0.0
